Model,Descriptor,Enzyme,Scaler,Accuracy
SVC,ECFP4,HIV-1 IN,Standard,0.8601522572402045
SVC,ECFP4,HIV-1 IN,Difference,0.033187819420783526
SVC,MIX,HIV-1 IN,Min-Max,0.8926213798977853
SVC,MIX,HIV-1 IN,Standard,0.8417749148211243
SVC,MIX,HIV-1 IN,Difference,0.05084646507666102
SVC,PC,HIV-1 PR,Min-Max,0.9470698405026582
SVC,PC,HIV-1 PR,Standard,0.9542170130497827
SVC,PC,HIV-1 PR,Difference,-0.007147172547124492
SVC,ECFP4,HIV-1 PR,Min-Max,0.9582286128564522
SVC,ECFP4,HIV-1 PR,Standard,0.9605546157564039
SVC,ECFP4,HIV-1 PR,Difference,-0.0023260028999516624
SVC,MIX,HIV-1 PR,Min-Max,0.9598960850652489
SVC,MIX,HIV-1 PR,Standard,0.96175688738521
SVC,MIX,HIV-1 PR,Difference,-0.001860802319961108
SVC,PC,HIV-1 RT,Min-Max,0.8036923307369681
SVC,PC,HIV-1 RT,Standard,0.7877471539844219
SVC,PC,HIV-1 RT,Difference,0.015945176752546253
SVC,ECFP4,HIV-1 RT,Min-Max,0.8763818154583582
SVC,ECFP4,HIV-1 RT,Standard,0.857579388855602
SVC,ECFP4,HIV-1 RT,Difference,0.018802426602756217
SVC,MIX,HIV-1 RT,Min-Max,0.8737567405632115
SVC,MIX,HIV-1 RT,Standard,0.8517937387657281
SVC,MIX,HIV-1 RT,Difference,0.02196300179748345
