Descriptor,Enzyme,model,scaler,split,Accuracy,criterion,n_estimators
MIX,IN,rfc,minmax,4,0.9633730834752982,entropy,100
MIX,IN,rfc,minmax,4,0.9663543441226576,entropy,500
MIX,IN,rfc,minmax,4,0.9655025553662692,entropy,1000
MIX,IN,rfc,minmax,4,0.9655025553662692,entropy,1500
MIX,IN,rfc,minmax,4,0.9659284497444632,entropy,2000
MIX,IN,rfc,minmax,4,0.965076660988075,log_loss,100
MIX,IN,rfc,minmax,4,0.967206132879046,log_loss,500
MIX,IN,rfc,minmax,4,0.9659284497444632,log_loss,1000
MIX,IN,rfc,minmax,4,0.9663543441226576,log_loss,1500
MIX,IN,rfc,minmax,4,0.9659284497444632,log_loss,2000
PC,PR,rfc,std,1,0.9826002899951668,gini,100
PC,PR,rfc,std,1,0.9835669405509908,gini,500
PC,PR,rfc,std,1,0.9821169647172548,gini,1000
PC,PR,rfc,std,1,0.9821169647172548,gini,1500
PC,PR,rfc,std,1,0.9830836152730787,gini,2000
PC,PR,rfc,std,1,0.9830836152730787,entropy,100
PC,PR,rfc,std,1,0.9830836152730787,entropy,500
PC,PR,rfc,std,1,0.9821169647172548,entropy,1000
PC,PR,rfc,std,1,0.9835669405509908,entropy,1500
PC,PR,rfc,std,1,0.9830836152730787,entropy,2000
PC,PR,rfc,std,1,0.9826002899951668,log_loss,100
PC,PR,rfc,std,1,0.9835669405509908,log_loss,500
PC,PR,rfc,std,1,0.9830836152730787,log_loss,1000
PC,PR,rfc,std,1,0.9826002899951668,log_loss,1500
PC,PR,rfc,std,1,0.9840502658289028,log_loss,2000
PC,PR,rfc,std,2,0.9845335911068148,gini,100
PC,PR,rfc,std,2,0.9826002899951668,gini,500
PC,PR,rfc,std,2,0.9840502658289028,gini,1000
PC,PR,rfc,std,2,0.9840502658289028,gini,1500
PC,PR,rfc,std,2,0.9840502658289028,gini,2000
PC,PR,rfc,std,2,0.9845335911068148,entropy,100
PC,PR,rfc,std,2,0.9835669405509908,entropy,500
PC,PR,rfc,std,2,0.9835669405509908,entropy,1000
PC,PR,rfc,std,2,0.9835669405509908,entropy,1500
PC,PR,rfc,std,2,0.9830836152730787,entropy,2000
PC,PR,rfc,std,2,0.9806669888835186,log_loss,100
PC,PR,rfc,std,2,0.9830836152730787,log_loss,500
PC,PR,rfc,std,2,0.9826002899951668,log_loss,1000
PC,PR,rfc,std,2,0.9830836152730787,log_loss,1500
PC,PR,rfc,std,2,0.9821169647172548,log_loss,2000
PC,PR,rfc,std,3,0.9806669888835186,gini,100
PC,PR,rfc,std,3,0.9797003383276944,gini,500
PC,PR,rfc,std,3,0.9792170130497824,gini,1000
PC,PR,rfc,std,3,0.9792170130497824,gini,1500
PC,PR,rfc,std,3,0.9792170130497824,gini,2000
PC,PR,rfc,std,3,0.9787336877718704,entropy,100
PC,PR,rfc,std,3,0.9782503624939584,entropy,500
PC,PR,rfc,std,3,0.9782503624939584,entropy,1000
PC,PR,rfc,std,3,0.9782503624939584,entropy,1500
PC,PR,rfc,std,3,0.9777670372160464,entropy,2000
PC,PR,rfc,std,3,0.9797003383276944,log_loss,100
PC,PR,rfc,std,3,0.9782503624939584,log_loss,500
PC,PR,rfc,std,3,0.9787336877718704,log_loss,1000
PC,PR,rfc,std,3,0.9782503624939584,log_loss,1500
PC,PR,rfc,std,3,0.9777670372160464,log_loss,2000
PC,PR,rfc,std,4,0.9811503141614306,gini,100
PC,PR,rfc,std,4,0.9826002899951668,gini,500
PC,PR,rfc,std,4,0.9830836152730787,gini,1000
PC,PR,rfc,std,4,0.9826002899951668,gini,1500
PC,PR,rfc,std,4,0.9830836152730787,gini,2000
PC,PR,rfc,std,4,0.9816336394393428,entropy,100
PC,PR,rfc,std,4,0.9806669888835186,entropy,500
PC,PR,rfc,std,4,0.9816336394393428,entropy,1000
PC,PR,rfc,std,4,0.9816336394393428,entropy,1500
PC,PR,rfc,std,4,0.9811503141614306,entropy,2000
PC,PR,rfc,std,4,0.9816336394393428,log_loss,100
PC,PR,rfc,std,4,0.9811503141614306,log_loss,500
PC,PR,rfc,std,4,0.9821169647172548,log_loss,1000
PC,PR,rfc,std,4,0.9806669888835186,log_loss,1500
PC,PR,rfc,std,4,0.9811503141614306,log_loss,2000
PC,PR,rfc,minmax,1,0.9816336394393428,gini,100
PC,PR,rfc,minmax,1,0.9816336394393428,gini,500
PC,PR,rfc,minmax,1,0.9816336394393428,gini,1000
PC,PR,rfc,minmax,1,0.9816336394393428,gini,1500
PC,PR,rfc,minmax,1,0.9816336394393428,gini,2000
PC,PR,rfc,minmax,1,0.9835669405509908,entropy,100
PC,PR,rfc,minmax,1,0.9830836152730787,entropy,500
PC,PR,rfc,minmax,1,0.9821169647172548,entropy,1000
PC,PR,rfc,minmax,1,0.9830836152730787,entropy,1500
PC,PR,rfc,minmax,1,0.9826002899951668,entropy,2000
PC,PR,rfc,minmax,1,0.9845335911068148,log_loss,100
PC,PR,rfc,minmax,1,0.9845335911068148,log_loss,500
PC,PR,rfc,minmax,1,0.9830836152730787,log_loss,1000
PC,PR,rfc,minmax,1,0.9826002899951668,log_loss,1500
PC,PR,rfc,minmax,1,0.9821169647172548,log_loss,2000
PC,PR,rfc,minmax,2,0.9830836152730787,gini,100
PC,PR,rfc,minmax,2,0.9845335911068148,gini,500
PC,PR,rfc,minmax,2,0.9845335911068148,gini,1000
PC,PR,rfc,minmax,2,0.9845335911068148,gini,1500
PC,PR,rfc,minmax,2,0.9845335911068148,gini,2000
