Descriptor,Enzyme,model,scaler,split,Accuracy,C,degree,kernel
ECFP4,IN,svc,std,1,0.93015332197615,8.0,5,poly
ECFP4,IN,svc,std,2,0.6145655877342419,0.2,3,poly
ECFP4,IN,svc,std,2,0.8432708688245315,0.2,0,rbf
ECFP4,IN,svc,std,2,0.8424190800681431,0.2,0,sigmoid
ECFP4,IN,svc,std,2,0.5894378194207837,0.2,4,poly
ECFP4,IN,svc,std,2,0.590289608177172,0.2,5,poly
ECFP4,IN,svc,std,2,0.9373935264054516,1.0,3,poly
ECFP4,IN,svc,std,2,0.9442078364565588,1.0,0,rbf
ECFP4,IN,svc,std,2,0.8671209540034072,1.0,0,sigmoid
ECFP4,IN,svc,std,2,0.8884156729131175,1.0,4,poly
ECFP4,IN,svc,std,2,0.8475298126064736,1.0,5,poly
ECFP4,IN,svc,std,2,0.9561328790459966,2.0,3,poly
ECFP4,IN,svc,std,2,0.9582623509369677,2.0,0,rbf
ECFP4,IN,svc,std,2,0.8598807495741057,2.0,0,sigmoid
ECFP4,IN,svc,std,2,0.9361158432708688,2.0,4,poly
ECFP4,IN,svc,std,2,0.9088586030664396,2.0,5,poly
ECFP4,IN,svc,std,2,0.9620954003407156,8.0,3,poly
ECFP4,IN,svc,std,2,0.962947189097104,8.0,0,rbf
ECFP4,IN,svc,std,2,0.8189948892674617,8.0,0,sigmoid
ECFP4,IN,svc,std,2,0.9493185689948892,8.0,4,poly
ECFP4,IN,svc,std,2,0.9420783645655876,8.0,5,poly
ECFP4,IN,svc,std,3,0.6145655877342419,0.2,3,poly
ECFP4,IN,svc,std,3,0.8334752981260647,0.2,0,rbf
ECFP4,IN,svc,std,3,0.8475298126064736,0.2,0,sigmoid
ECFP4,IN,svc,std,3,0.588160136286201,0.2,4,poly
ECFP4,IN,svc,std,3,0.5890119250425895,0.2,5,poly
ECFP4,IN,svc,std,3,0.9373935264054516,1.0,3,poly
ECFP4,IN,svc,std,3,0.9497444633730836,1.0,0,rbf
ECFP4,IN,svc,std,3,0.8654173764906303,1.0,0,sigmoid
ECFP4,IN,svc,std,3,0.8999148211243612,1.0,4,poly
ECFP4,IN,svc,std,3,0.8620102214650767,1.0,5,poly
ECFP4,IN,svc,std,3,0.9574105621805792,2.0,3,poly
ECFP4,IN,svc,std,3,0.9608177172061328,2.0,0,rbf
ECFP4,IN,svc,std,3,0.8551959114139693,2.0,0,sigmoid
ECFP4,IN,svc,std,3,0.942504258943782,2.0,4,poly
ECFP4,IN,svc,std,3,0.919931856899489,2.0,5,poly
ECFP4,IN,svc,std,3,0.956984667802385,8.0,3,poly
ECFP4,IN,svc,std,3,0.9616695059625212,8.0,0,rbf
ECFP4,IN,svc,std,3,0.8321976149914821,8.0,0,sigmoid
ECFP4,IN,svc,std,3,0.952725724020443,8.0,4,poly
ECFP4,IN,svc,std,3,0.9463373083475298,8.0,5,poly
ECFP4,IN,svc,std,4,0.6243611584327087,0.2,3,poly
ECFP4,IN,svc,std,4,0.848381601362862,0.2,0,rbf
ECFP4,IN,svc,std,4,0.8466780238500852,0.2,0,sigmoid
ECFP4,IN,svc,std,4,0.590289608177172,0.2,4,poly
ECFP4,IN,svc,std,4,0.5890119250425895,0.2,5,poly
ECFP4,IN,svc,std,4,0.9284497444633732,1.0,3,poly
ECFP4,IN,svc,std,4,0.9399488926746168,1.0,0,rbf
ECFP4,IN,svc,std,4,0.8679727427597955,1.0,0,sigmoid
ECFP4,IN,svc,std,4,0.8918228279386712,1.0,4,poly
