model,Descriptor,Enzyme,scaler,split,Accuracy,var_smoothing,Category,Enzyme x Descriptor
gnb,ECFP4,HIV-1 PR,minmax,1,0.7738037699371677,1e-12,C,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,1,0.8076365393910101,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,1,0.8617689705171581,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,1,0.9487675205413244,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,2,0.8018366360560657,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,2,0.804736587723538,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,2,0.8477525374577091,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,2,0.9405509908168196,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,3,0.8129531174480426,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,3,0.8260028999516674,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,3,0.8622522957950701,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,3,0.94296761720638,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,4,0.8124697921701305,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,4,0.8284195263412276,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,4,0.8661188980183664,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,minmax,4,0.9521507974867084,0.001,A,HIV-1 PR x ECFP4
gnb,MIX,HIV-1 PR,std,1,0.7771870468825519,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,1,0.7926534557757371,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,1,0.834219429676172,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,1,0.9250845819236346,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,2,0.7351377477042049,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,2,0.7844369260512325,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,2,0.8724021266312229,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,2,0.9405509908168196,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,3,0.7119381343644272,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,3,0.7670372160463992,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,3,0.8347027549540841,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,3,0.915418076365394,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,4,0.7854035766070565,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,4,0.7974867085548574,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,4,0.8308361527307878,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,std,4,0.9192846785886902,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,1,0.778153697438376,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,1,0.7974867085548574,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,1,0.8540357660705655,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,1,0.9420009666505558,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,2,0.7419043015949734,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,2,0.804736587723538,1e-09,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,2,0.888835186080232,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,2,0.9497341710971484,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,3,0.7177380376993717,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,3,0.7839536007733204,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,3,0.8521024649589174,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,3,0.929434509424843,0.001,A,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,4,0.7858869018849686,1e-12,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,4,0.7999033349444176,1e-09,C,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,4,0.8438859352344128,1e-06,B,HIV-1 PR x MIX
gnb,MIX,HIV-1 PR,minmax,4,0.9357177380376994,0.001,A,HIV-1 PR x MIX
gnb,PC,HIV-1 RT,std,1,0.6800479328939485,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,1,0.6800479328939485,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,1,0.6800479328939485,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,1,0.6800479328939485,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,2,0.5236668663870582,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,2,0.5704014379868184,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,2,0.6111443978430198,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,2,0.6659676452965848,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,3,0.5044937088076693,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,3,0.5383463151587777,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,3,0.5817855002995805,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,3,0.6183343319352906,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,4,0.5140802875973637,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,4,0.5775913720790893,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,4,0.6243259436788496,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,std,4,0.6779508687837028,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,1,0.6800479328939485,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,1,0.6800479328939485,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,1,0.6800479328939485,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,1,0.6785500299580587,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,2,0.5539245056920311,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,2,0.5919712402636309,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,2,0.6491911324146196,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,2,0.7121030557219892,0.001,C,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,3,0.5254643499101258,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,3,0.5656081485919713,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,3,0.6018573996405033,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,3,0.6470940683043739,0.001,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,4,0.5602156980227682,1e-12,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,4,0.6063511084481725,1e-09,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,4,0.6560814859197124,1e-06,D,HIV-1 RT x PC
gnb,PC,HIV-1 RT,minmax,4,0.7237866986219293,0.001,C,HIV-1 RT x PC
gnb,ECFP4,HIV-1 RT,std,1,0.7950868783702816,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,1,0.7950868783702816,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,1,0.7950868783702816,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,1,0.7950868783702816,0.001,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,2,0.7998801677651288,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,2,0.7998801677651288,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,2,0.7998801677651288,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,2,0.7995805871779509,0.001,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,3,0.8079688436189335,1e-12,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,3,0.8079688436189335,1e-09,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,3,0.8079688436189335,1e-06,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,3,0.8073696824445776,0.001,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,4,0.799281006590773,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,4,0.799281006590773,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,4,0.799281006590773,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,std,4,0.799281006590773,0.001,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,1,0.7950868783702816,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,1,0.7950868783702816,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,1,0.7950868783702816,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,1,0.7935889754343919,0.001,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,2,0.7998801677651288,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,2,0.7998801677651288,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,2,0.7998801677651288,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,2,0.799281006590773,0.001,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,3,0.8079688436189335,1e-12,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,3,0.8079688436189335,1e-09,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,3,0.8079688436189335,1e-06,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,3,0.8070701018573997,0.001,B,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,4,0.799281006590773,1e-12,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,4,0.799281006590773,1e-09,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,4,0.799281006590773,1e-06,C,HIV-1 RT x ECFP4
gnb,ECFP4,HIV-1 RT,minmax,4,0.798981426003595,0.001,C,HIV-1 RT x ECFP4
gnb,MIX,HIV-1 RT,std,1,0.7525464349910126,1e-12,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,1,0.7600359496704614,1e-09,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,1,0.7669263031755542,1e-06,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,1,0.7789095266626722,0.001,C,HIV-1 RT x MIX
gnb,MIX,HIV-1 RT,std,2,0.7636309167165968,1e-12,C,HIV-1 RT x MIX
