model,Descriptor,Enzyme,scaler,split,Accuracy,estimator,learning_rate,n_estimators,Category,Enzyme x Descriptor
abc,PC,HIV-1 IN,minmax,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7074105621805792,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7538330494037478,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7487223168654173,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.780664395229983,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7853492333901193,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.7887563884156729,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.8002555366269165,DecisionTreeClassifier(max_depth=1),1.0,10,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.8045144804088586,DecisionTreeClassifier(max_depth=1),1.0,20,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.8334752981260647,DecisionTreeClassifier(max_depth=1),1.0,50,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.8415672913117547,DecisionTreeClassifier(max_depth=1),1.0,70,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,4,0.8590289608177172,DecisionTreeClassifier(max_depth=1),1.0,100,B,HIV-1 IN x PC
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.0001,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.0001,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.0001,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.0001,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.0001,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.01,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.760221465076661,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7653321976149915,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.754258943781942,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7657580919931857,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7874787052810903,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.793015332197615,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7947189097103918,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.7866269165247018,DecisionTreeClassifier(max_depth=1),1.0,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.8121805792163543,DecisionTreeClassifier(max_depth=1),1.0,20,B,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.8398637137989778,DecisionTreeClassifier(max_depth=1),1.0,50,B,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.8500851788756388,DecisionTreeClassifier(max_depth=1),1.0,70,B,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,1,0.8620102214650767,DecisionTreeClassifier(max_depth=1),1.0,100,B,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.0001,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.0001,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.0001,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.0001,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.0001,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.01,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.731686541737649,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7321124361158433,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7465928449744463,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7504258943781942,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7619250425894378,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7666098807495741,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7823679727427598,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7925894378194208,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7661839863713799,DecisionTreeClassifier(max_depth=1),1.0,10,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.7712947189097104,DecisionTreeClassifier(max_depth=1),1.0,20,C,HIV-1 IN x ECFP4
abc,ECFP4,HIV-1 IN,std,2,0.8287904599659285,DecisionTreeClassifier(max_depth=1),1.0,50,B,HIV-1 IN x ECFP4
