model,Descriptor,Enzyme,scaler,split,Accuracy,algorithm,n_neighbors,weights
knn,PC,HIV-1 IN,minmax,4,0.8373083475298126,kd_tree,7,uniform
knn,PC,HIV-1 IN,minmax,4,0.9237649063032368,kd_tree,7,distance
knn,PC,HIV-1 IN,minmax,4,0.8326235093696763,kd_tree,10,uniform
knn,PC,HIV-1 IN,minmax,4,0.9250425894378196,kd_tree,10,distance
knn,PC,HIV-1 IN,minmax,4,0.858603066439523,brute,5,uniform
knn,PC,HIV-1 IN,minmax,4,0.9275979557069848,brute,5,distance
knn,PC,HIV-1 IN,minmax,4,0.8624361158432708,brute,6,uniform
knn,PC,HIV-1 IN,minmax,4,0.9254684838160137,brute,6,distance
knn,PC,HIV-1 IN,minmax,4,0.8373083475298126,brute,7,uniform
knn,PC,HIV-1 IN,minmax,4,0.9233390119250426,brute,7,distance
knn,PC,HIV-1 IN,minmax,4,0.8326235093696763,brute,10,uniform
knn,PC,HIV-1 IN,minmax,4,0.9250425894378196,brute,10,distance
knn,ECFP4,HIV-1 IN,std,1,0.90587734241908,auto,5,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9535775127768312,auto,5,distance
knn,ECFP4,HIV-1 IN,std,1,0.8888415672913118,auto,6,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9531516183986372,auto,6,distance
knn,ECFP4,HIV-1 IN,std,1,0.895655877342419,auto,7,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9518739352640544,auto,7,distance
knn,ECFP4,HIV-1 IN,std,1,0.8747870528109029,auto,10,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9493185689948892,auto,10,distance
knn,ECFP4,HIV-1 IN,std,1,0.90587734241908,ball_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9535775127768312,ball_tree,5,distance
knn,ECFP4,HIV-1 IN,std,1,0.8888415672913118,ball_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9531516183986372,ball_tree,6,distance
knn,ECFP4,HIV-1 IN,std,1,0.895655877342419,ball_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9518739352640544,ball_tree,7,distance
knn,ECFP4,HIV-1 IN,std,1,0.8747870528109029,ball_tree,10,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9493185689948892,ball_tree,10,distance
knn,ECFP4,HIV-1 IN,std,1,0.90587734241908,kd_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9535775127768312,kd_tree,5,distance
knn,ECFP4,HIV-1 IN,std,1,0.8888415672913118,kd_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9531516183986372,kd_tree,6,distance
knn,ECFP4,HIV-1 IN,std,1,0.895655877342419,kd_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9518739352640544,kd_tree,7,distance
knn,ECFP4,HIV-1 IN,std,1,0.8747870528109029,kd_tree,10,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9493185689948892,kd_tree,10,distance
knn,ECFP4,HIV-1 IN,std,1,0.90587734241908,brute,5,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9535775127768312,brute,5,distance
knn,ECFP4,HIV-1 IN,std,1,0.8888415672913118,brute,6,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9531516183986372,brute,6,distance
knn,ECFP4,HIV-1 IN,std,1,0.895655877342419,brute,7,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9518739352640544,brute,7,distance
knn,ECFP4,HIV-1 IN,std,1,0.8747870528109029,brute,10,uniform
knn,ECFP4,HIV-1 IN,std,1,0.9493185689948892,brute,10,distance
knn,ECFP4,HIV-1 IN,std,2,0.9122657580919932,auto,5,uniform
knn,ECFP4,HIV-1 IN,std,2,0.959114139693356,auto,5,distance
knn,ECFP4,HIV-1 IN,std,2,0.8948040885860307,auto,6,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9608177172061328,auto,6,distance
knn,ECFP4,HIV-1 IN,std,2,0.9041737649063032,auto,7,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9599659284497444,auto,7,distance
knn,ECFP4,HIV-1 IN,std,2,0.8747870528109029,auto,10,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9561328790459966,auto,10,distance
knn,ECFP4,HIV-1 IN,std,2,0.9122657580919932,ball_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,2,0.959114139693356,ball_tree,5,distance
knn,ECFP4,HIV-1 IN,std,2,0.8948040885860307,ball_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9608177172061328,ball_tree,6,distance
knn,ECFP4,HIV-1 IN,std,2,0.9041737649063032,ball_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9599659284497444,ball_tree,7,distance
knn,ECFP4,HIV-1 IN,std,2,0.8747870528109029,ball_tree,10,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9561328790459966,ball_tree,10,distance
knn,ECFP4,HIV-1 IN,std,2,0.9122657580919932,kd_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,2,0.959114139693356,kd_tree,5,distance
knn,ECFP4,HIV-1 IN,std,2,0.8948040885860307,kd_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9608177172061328,kd_tree,6,distance
knn,ECFP4,HIV-1 IN,std,2,0.9041737649063032,kd_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9599659284497444,kd_tree,7,distance
knn,ECFP4,HIV-1 IN,std,2,0.8747870528109029,kd_tree,10,uniform
