model,Descriptor,Enzyme,scaler,split,Accuracy,criterion,n_estimators,Category,Enzyme x Descriptor
rfc,PC,HIV-1 PR,std,1,0.9826002899951668,entropy,1500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9826002899951668,entropy,2000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9855002416626388,gini,100,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9835669405509908,gini,500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9845335911068148,gini,1000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9845335911068148,gini,1500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9845335911068148,gini,2000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9845335911068148,entropy,100,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9821169647172548,entropy,500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9826002899951668,entropy,1000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9826002899951668,entropy,1500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,2,0.9816336394393428,entropy,2000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,3,0.9792170130497824,gini,100,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,3,0.9797003383276944,gini,500,A,HIV-1 PR x PC
