model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
knn,PR,MIX,minmax,1,7-distance-ball_tree,test,0.9790575916230366,0.9842105263157894,0.966183574879227,0.9816272965879264,0.8744582043343653,0.7699418606445517,3,3
knn,PR,MIX,minmax,2,7-distance-ball_tree,train,0.9991341991341992,1.0,0.999194198227236,0.9995669120831528,0.9942528735632185,0.9938057647220232,3,1
knn,PR,MIX,minmax,2,7-distance-ball_tree,validation,0.9528535980148884,0.9974025974025974,0.9516908212560388,0.9746192893401016,0.671115091804747,0.5431237675963112,3,2
knn,PR,MIX,minmax,2,7-distance-ball_tree,test,0.9738903394255874,0.9815789473684212,0.9589371980676328,0.9777195281782438,0.8437306501547988,0.7171322906245172,3,3
knn,PR,MIX,minmax,3,7-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,7-distance-ball_tree,validation,0.9427860696517412,0.9844155844155844,0.929951690821256,0.963151207115629,0.5956560680698612,0.2910504231881247,3,2
knn,PR,MIX,minmax,3,7-distance-ball_tree,test,0.953846153846154,0.9789473684210528,0.9371980676328504,0.9662337662337662,0.7247678018575852,0.5281501731347192,3,3
knn,PR,MIX,minmax,4,7-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,7-distance-ball_tree,validation,0.9552238805970148,1.0,0.9564164648910412,0.9770992366412212,0.6896551724137931,0.6019354612720527,3,2
knn,PR,MIX,minmax,4,7-distance-ball_tree,test,0.9634464751958224,0.9710526315789474,0.9396135265700484,0.9672346002621232,0.7796439628482972,0.5834269232214323,3,3
knn,PR,MIX,minmax,1,7-distance-brute,train,0.9991341991341992,1.0,0.999194198227236,0.9995669120831528,0.9942528735632185,0.9938057647220232,3,1
knn,PR,MIX,minmax,1,7-distance-brute,validation,0.962406015037594,0.9974025974025974,0.961352657004831,0.979591836734694,0.7400806090461263,0.6558195610127415,3,2
knn,PR,MIX,minmax,1,7-distance-brute,test,0.9790575916230366,0.9842105263157894,0.966183574879227,0.9816272965879264,0.8744582043343653,0.7699418606445517,3,3
knn,PR,MIX,minmax,2,7-distance-brute,train,0.9991341991341992,1.0,0.999194198227236,0.9995669120831528,0.9942528735632185,0.9938057647220232,3,1
knn,PR,MIX,minmax,2,7-distance-brute,validation,0.9528535980148884,0.9974025974025974,0.9516908212560388,0.9746192893401016,0.671115091804747,0.5431237675963112,3,2
knn,PR,MIX,minmax,2,7-distance-brute,test,0.9738903394255874,0.9815789473684212,0.9589371980676328,0.9777195281782438,0.8437306501547988,0.7171322906245172,3,3
knn,PR,MIX,minmax,3,7-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,7-distance-brute,validation,0.9427860696517412,0.9844155844155844,0.929951690821256,0.963151207115629,0.5956560680698612,0.2910504231881247,3,2
knn,PR,MIX,minmax,3,7-distance-brute,test,0.953846153846154,0.9789473684210528,0.9371980676328504,0.9662337662337662,0.7247678018575852,0.5281501731347192,3,3
knn,PR,MIX,minmax,4,7-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,7-distance-brute,validation,0.9552238805970148,1.0,0.9564164648910412,0.9770992366412212,0.6896551724137931,0.6019354612720527,3,2
