model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
mlp,PR,MIX,std,2,sign,validation,0.9598997493734336,0.9948051948051948,0.9565217391304348,0.9770408163265306,0.7215405284370802,0.6051742899328544,3,2
mlp,PR,MIX,std,2,sign,test,0.9664948453608248,0.986842105263158,0.9565217391304348,0.9765625,0.8022445820433437,0.68409629804271,3,3
mlp,PR,MIX,std,3,sign,train,1.0,0.9878682842287696,0.9887187751813054,0.993897122929381,0.9939341421143848,0.9224619487062434,3,1
mlp,PR,MIX,std,3,sign,validation,0.9738219895287958,0.9662337662337662,0.9444444444444444,0.970013037809648,0.8107030900134348,0.5938794001338482,3,2
mlp,PR,MIX,std,3,sign,test,0.978494623655914,0.9578947368421052,0.9420289855072465,0.9680851063829788,0.8613003095975231,0.6571030319308911,3,3
mlp,PR,MIX,std,4,sign,train,1.0,0.9948051948051948,0.9951690821256038,0.9973958333333334,0.9974025974025974,0.964688661950156,3,1
mlp,PR,MIX,std,4,sign,validation,0.9769820971867008,0.9947916666666666,0.973365617433414,0.9858064516129031,0.84222341954023,0.7787617532604117,3,2
mlp,PR,MIX,std,4,sign,test,0.9707446808510638,0.9605263157894736,0.9371980676328504,0.9656084656084656,0.8184984520123839,0.6057352639355519,3,3
mlp,RT,PC,minmax,1,sign,train,0.7002849002849003,0.8636683063949403,0.6403596403596403,0.7734424166142227,0.4776027196914252,-0.0617561162274685,1,1
mlp,RT,PC,minmax,1,sign,validation,0.6919104991394148,0.8463157894736842,0.6227544910179641,0.7613636363636364,0.4594273247886556,-0.1092801813096568,1,2
mlp,RT,PC,minmax,1,sign,test,0.735593220338983,0.8628230616302187,0.6631736526946108,0.7941445562671546,0.4586842580878366,-0.1109681150460421,1,3
mlp,RT,PC,minmax,2,sign,train,0.6995073891625616,0.8981026001405481,0.6533466533466533,0.7864615384615384,0.4749580358215693,-0.0803992170558942,1,1
mlp,RT,PC,minmax,2,sign,validation,0.6988155668358714,0.8694736842105263,0.6407185628742516,0.774859287054409,0.4735969457322061,-0.0749498072493519,1,2
mlp,RT,PC,minmax,2,sign,test,0.741042345276873,0.904572564612326,0.6901197604790419,0.8146821844225605,0.4704681004879812,-0.0934471965245545,1,3
mlp,RT,PC,minmax,3,sign,train,0.6997067448680352,0.8377808988764045,0.6290564153769346,0.7625439437519974,0.4767488259494285,-0.0592377883383091,1,1
mlp,RT,PC,minmax,3,sign,validation,0.696551724137931,0.8523206751054853,0.631184407796102,0.7666034155597723,0.4702017883299446,-0.0802443380318691,1,2
mlp,RT,PC,minmax,3,sign,test,0.7406143344709898,0.8628230616302187,0.6691616766467066,0.7970615243342516,0.4708054702090487,-0.0767364512498891,1,3
mlp,RT,PC,minmax,4,sign,train,0.6936679977181974,0.8539325842696629,0.6280579131303046,0.7655020459553038,0.4632357221866449,-0.1008531225333738,1,1
mlp,RT,PC,minmax,4,sign,validation,0.7001703577512777,0.8670886075949367,0.6416791604197901,0.7747408105560791,0.4775857545746704,-0.06256881066904,1,2
mlp,RT,PC,minmax,4,sign,test,0.7305084745762712,0.856858846918489,0.6541916167664671,0.7886550777676121,0.4466112416410627,-0.1433944933709573,1,3
mlp,RT,PC,std,1,sign,train,0.7015810276679841,0.7484188334504568,0.5949050949050949,0.7242434546072765,0.4830177068806688,-0.0359674371700096,1,1
mlp,RT,PC,std,1,sign,validation,0.6933867735470942,0.728421052631579,0.5778443113772455,0.7104722792607803,0.4678374693209708,-0.0670674884810228,1,2
mlp,RT,PC,std,1,sign,test,0.7384615384615385,0.7634194831013916,0.6182634730538922,0.750733137829912,0.4695885294294837,-0.0631627240955916,1,3
mlp,RT,PC,std,2,sign,train,0.7007203667321545,0.7519325368938862,0.5954045954045954,0.7254237288135593,0.4813203271688774,-0.0398175624288872,1,1
mlp,RT,PC,std,2,sign,validation,0.7114228456913828,0.7473684210526316,0.6047904191616766,0.728952772073922,0.500627215707663,0.0013079126971879,1,2
mlp,RT,PC,std,2,sign,test,0.7283464566929134,0.73558648111332,0.594311377245509,0.731948565776459,0.4496114223748418,-0.1018347993549646,1,3
mlp,RT,PC,std,3,sign,train,0.7006410256410256,0.7675561797752809,0.6015976035946081,0.732573726541555,0.4804965700258097,-0.0426060335724398,1,1
mlp,RT,PC,std,3,sign,validation,0.7039106145251397,0.7974683544303798,0.6176911544227887,0.7477744807121661,0.486817078769594,-0.0301821837742497,1,2
mlp,RT,PC,std,3,sign,test,0.7401869158878505,0.7872763419483101,0.6317365269461078,0.7630057803468208,0.4724260497620338,-0.0595596636216109,1,3
mlp,RT,PC,std,4,sign,train,0.6945843828715366,0.7745786516853933,0.5976035946080879,0.7324037184594954,0.4684637645300887,-0.0705480192024479,1,1
mlp,RT,PC,std,4,sign,validation,0.6867924528301886,0.7679324894514767,0.5862068965517241,0.7250996015936255,0.4539144312542358,-0.1034581132896865,1,2
mlp,RT,PC,std,4,sign,test,0.7291280148423006,0.7813121272365805,0.6167664670658682,0.7543186180422264,0.4482318211940478,-0.1131174508142762,1,3
mlp,RT,ECFP4,minmax,1,sign,train,0.7011795543905636,0.7519325368938862,0.5959040959040959,0.7256697185486606,0.4821838850272539,-0.0379493193648212,2,1
mlp,RT,ECFP4,minmax,1,sign,validation,0.6871287128712872,0.7305263157894737,0.5718562874251497,0.7081632653061225,0.4559367330242705,-0.0930020791124321,2,2
mlp,RT,ECFP4,minmax,1,sign,test,0.7291242362525459,0.7117296222664016,0.5838323353293413,0.7203219315895373,0.4528345081028977,-0.0921834481876747,2,3
mlp,RT,ECFP4,minmax,2,sign,train,0.7025974025974026,0.7603654251581167,0.6008991008991009,0.7303408707391158,0.4846732134426162,-0.0329868988516485,2,1
mlp,RT,ECFP4,minmax,2,sign,validation,0.7131313131313132,0.7431578947368421,0.6047904191616766,0.7278350515463917,0.5037032997000273,0.0076633500503833,2,2
mlp,RT,ECFP4,minmax,2,sign,test,0.7247524752475247,0.7276341948310139,0.5868263473053892,0.7261904761904762,0.4426049762033858,-0.1152632097635833,2,3
mlp,RT,ECFP4,minmax,3,sign,train,0.7102330293819655,0.9845505617977528,0.7034448327508737,0.8251912889935256,0.498320185907512,-0.0127500802844104,2,1
mlp,RT,ECFP4,minmax,3,sign,validation,0.7114803625377644,0.9936708860759492,0.7091454272863568,0.829225352112676,0.5020167901882338,0.0212053060033051,2,2
